Номер скважины,Глубина манометра,Dшт,Руст,Рзаб,Pлин,Рлин,Туст,Тна шлейфе,Тзаб,Tлин,Дебит ст. конд.,Дебит воды,Дебит гааз,Дебит кон нестабильный,Нэф,Рпл. Тек (послед точка на КВД),Рпл. Тек (Расчет по КВД),Pсб,Ro_c,Удельная плотность газа ,G_total,КГФ
804,"3576,30","7,94","249,60","370,10","101,80","101,80","53,00","31,70","103,20","32,50","83,60","0,40","1610,37","131,30","56,80","45,25","56,50","93,60","801,0","0,6694","2,78","311,91"
804,"3576,30","9,53","233,50","364,60","101,30","102,40","58,80","37,60","103,00","38,60","104,70","1,40","2310,23","158,50","56,80","45,25","56,50","92,90","801,0","0,6694","3,70","288,60"
804,"3576,30","11,11","213,40","357,10","101,60","100,60","63,60","42,80","102,60","43,40","114,30","1,90","3039,49","172,30","56,80","45,25","56,50","91,40","801,0","0,6694","4,52","248,79"
804,"3576,30","12,70","191,60","347,40","98,40","99,00","64,70","46,20","102,00","46,10","121,30","3,30","3824,08","181,50","56,80","45,25","56,50","89,20","801,0","0,6694","5,22","223,56"
804,"3576,30","14,29","171,90","337,70","99,20","99,50","64,00","49,40","104,40","49,90","129,80","4,60","4299,10","190,60","56,80","45,25","56,50","89,70","801,0","0,6694","5,77","215,15"
804,"3576,30","9,53","199,50","286,40","106,36","106,19","57,50","38,80","102,64","38,98","76,80","0,60","1921,00","119,00","56,80","41,22","48,30","90,70","789,8","0,6750","3,08","241,13"
807,"3667,00","7,94","252,00","354,33","102,93","101,57","56,00",,"105,30","33,00","56,07","0,00","1807,40","90,40","57,20","38,74","50,86","100,90","787,00","0,66","0,51","188,00"
807,"3667,00","9,53","250,00","350,20","103,19","103,32","61,00",,"105,20","39,06","73,89","0,00","2532,40","118,00","57,20","38,74","50,86","100,10","787,00","0,66","0,67","178,00"
807,"3667,00","11,11","240,00","344,00","105,67","105,59","65,00",,"105,20","44,90","92,13","1,01","3392,30","146,00","57,20","38,74","50,86","102,00","787,00","0,66","0,84","169,00"
807,"3667,00","12,70","228,00","336,70","108,10","108,14","42,00",,"105,10","49,84","109,81","1,38","4228,80","175,50","57,20","38,74","50,86","103,80","787,00","0,66","1,00","162,00"
